num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
52,9,23,6,0,1,4,0,0,2,4.777777777777778,1.0
111,21,40,4,0,0,0,3,0,4,4.0,1.0
97,17,35,4,0,0,0,2,0,4,4.352941176470588,1.0
100,17,35,4,0,0,0,2,0,4,4.529411764705882,1.0
98,17,35,4,0,0,0,2,0,4,4.411764705882353,1.0
101,17,34,4,0,0,0,2,0,4,4.588235294117647,1.0
127,23,49,4,0,0,0,2,0,8,4.086956521739131,1.0
123,23,50,4,0,0,0,2,0,8,3.9130434782608696,1.0
130,23,49,4,0,0,0,2,0,8,4.217391304347826,1.0
136,23,49,4,0,0,0,2,0,8,4.478260869565218,1.0
163,27,54,4,0,0,0,3,0,8,4.666666666666667,1.0
188,36,65,4,0,1,0,3,0,10,3.9722222222222223,1.0
184,36,66,4,0,1,0,3,0,10,3.861111111111111,1.0
193,36,65,4,0,1,0,3,0,10,4.111111111111111,1.0
196,36,64,4,0,1,0,3,0,10,4.194444444444445,1.0
227,40,70,4,0,1,0,4,0,10,4.45,1.0
72,21,48,1,1,3,2,0,0,12,2.0952380952380953,1.0
3,1,2,0,0,0,2,0,0,0,3.0,1.0
5,1,4,2,0,0,2,0,0,0,5.0,1.0
9,3,8,0,0,0,2,0,0,2,1.6666666666666667,1.0
13,5,9,1,2,0,0,1,1,0,1.6,1.0
8,4,4,0,0,0,0,1,1,0,1.25,1.0
14,5,10,4,0,0,0,1,1,0,2.0,1.0
23,7,13,0,0,0,0,0,1,2,2.2857142857142856,1.0
19,5,9,4,0,0,0,1,1,0,3.0,1.0
5,2,5,1,2,0,0,0,0,0,1.5,1.0
12,5,8,1,2,0,0,1,1,0,1.6,1.0
12,5,8,0,2,0,0,1,1,0,1.6,1.0
13,6,9,1,0,0,0,1,1,0,1.3333333333333333,1.0
10,4,6,0,2,0,0,1,1,0,1.75,1.0
19,7,15,4,0,0,0,1,1,2,1.5714285714285714,1.0
11,3,4,2,0,0,0,0,1,0,3.0,1.0
43,5,9,1,2,0,0,0,2,0,7.8,1.0
50,6,11,0,0,0,0,0,3,1,7.166666666666667,1.0
16,5,8,1,2,0,0,1,0,0,2.4,1.0
32,8,11,1,2,0,0,1,0,0,3.125,1.0
102,19,31,2,2,0,0,2,6,2,4.157894736842105,1.0
34,9,16,1,2,0,0,0,2,2,2.7777777777777777,1.0
30,5,9,1,2,0,0,0,2,0,5.2,1.0
28,5,12,5,0,0,0,1,1,0,4.4,1.0
35,5,15,7,0,0,0,1,1,0,5.8,1.0
23,5,12,5,0,0,0,1,1,0,3.4,1.0
29,5,10,5,0,0,0,0,2,0,5.0,1.0
10,5,6,1,0,0,0,0,1,0,1.2,1.0
17,5,10,5,0,0,0,0,1,0,2.6,1.0
35,7,15,5,0,0,0,0,1,2,3.857142857142857,1.0
22,7,7,1,0,0,0,0,2,0,2.2857142857142856,1.0
32,9,12,1,0,0,0,0,2,2,2.6666666666666665,1.0
70,14,24,1,0,3,0,1,4,2,3.9285714285714284,1.0
15,3,4,1,0,0,0,0,2,0,4.0,1.0
17,3,8,0,2,0,0,1,0,0,5.0,1.0
20,2,9,0,0,0,0,0,0,0,9.5,1.0
46,9,20,7,0,0,4,0,0,0,4.222222222222222,1.0
37,10,23,7,0,0,0,0,0,2,2.6,1.0
24,3,20,1,0,0,0,1,0,0,7.333333333333333,1.0
8,3,5,1,0,0,0,0,1,0,2.0,1.0
22,6,12,0,0,0,0,0,1,2,2.5,1.0
17,4,9,1,2,0,0,1,0,0,3.25,1.0
124,22,48,8,0,0,0,2,3,2,4.590909090909091,1.0
40,9,12,0,2,0,0,0,1,0,3.5555555555555554,1.0
39,11,16,1,2,0,0,0,3,2,2.5454545454545454,1.0
52,8,19,3,0,4,0,0,2,2,5.625,1.0
81,11,35,0,0,13,0,0,0,6,6.090909090909091,1.0
104,24,61,1,0,7,0,1,1,12,2.7916666666666665,1.0
46,5,15,3,2,0,0,0,0,0,8.4,1.0
40,6,7,2,0,0,0,0,0,0,5.833333333333333,1.0
91,12,13,0,0,0,0,0,0,0,6.583333333333333,1.0
22,6,9,1,2,0,0,0,0,0,2.8333333333333335,1.0
36,5,9,4,0,1,0,0,0,0,6.4,1.0
44,5,9,4,0,1,0,0,0,0,8.0,1.0
109,17,40,6,0,4,0,0,0,6,5.0588235294117645,1.0
46,8,9,0,0,0,0,0,0,0,4.875,1.0
238,63,111,0,0,3,0,0,0,25,2.6031746031746033,1.0
13,6,9,1,2,0,0,1,1,0,1.3333333333333333,1.0
33,7,15,1,2,0,0,0,2,2,3.5714285714285716,1.0
54,11,26,1,2,1,0,0,3,4,3.4545454545454546,1.0
60,12,28,1,2,2,0,0,3,4,3.5833333333333335,1.0
67,13,31,1,2,3,0,0,3,4,3.6923076923076925,1.0
73,14,33,1,2,4,0,0,3,4,3.7857142857142856,1.0
79,15,35,1,2,5,0,0,3,4,3.8666666666666667,1.0
89,19,43,3,2,2,0,0,1,6,3.473684210526316,1.0
66,13,27,5,2,0,0,0,1,2,4.076923076923077,1.0
68,12,26,5,2,0,0,0,0,2,4.583333333333333,1.0
108,18,43,5,2,0,0,0,1,6,4.611111111111111,1.0
78,19,32,0,2,1,0,2,6,2,3.0,1.0
79,19,33,0,2,1,0,2,6,2,3.0526315789473686,1.0
63,20,32,0,2,0,0,3,5,2,2.05,1.0
107,25,37,0,2,1,0,3,8,2,3.2,1.0
55,16,25,0,2,0,0,2,5,0,2.4375,1.0
55,16,24,0,2,0,0,2,5,0,2.4375,1.0
71,15,25,0,2,1,0,1,6,0,3.7333333333333334,1.0
71,15,26,0,2,1,0,1,6,0,3.7333333333333334,1.0
75,17,29,0,2,1,0,2,6,0,3.3529411764705883,1.0
96,20,29,0,2,1,2,2,7,0,3.8,1.0
99,20,29,0,2,1,2,2,7,0,3.95,1.0
49,14,21,0,2,0,0,2,4,0,2.357142857142857,1.0
79,19,32,0,2,1,0,2,6,2,3.0,1.0
79,19,32,0,2,1,0,2,6,2,3.0526315789473686,1.0
74,18,28,0,2,1,0,2,6,0,3.111111111111111,1.0
58,19,26,0,2,0,0,3,5,0,2.0526315789473686,1.0
74,18,27,0,2,1,0,2,6,0,3.111111111111111,1.0
54,16,24,0,2,0,0,2,5,0,2.375,1.0
70,15,25,0,2,1,0,1,6,0,3.6666666666666665,1.0
54,16,23,0,2,0,0,2,5,0,2.375,1.0
70,15,24,0,2,1,0,1,6,0,3.6666666666666665,1.0
73,15,25,0,2,1,0,1,6,0,3.8666666666666667,1.0
58,18,27,0,2,0,0,3,5,0,2.1666666666666665,1.0
74,17,28,0,2,1,0,2,6,0,3.2941176470588234,1.0
74,17,29,0,2,1,0,1,6,2,3.235294117647059,1.0
75,17,30,0,2,1,0,1,6,2,3.2941176470588234,1.0
79,19,33,0,2,1,0,2,6,2,3.0,1.0
56,18,28,0,2,0,0,2,4,2,2.0555555555555554,1.0
75,17,29,0,2,1,0,1,5,2,3.3529411764705883,1.0
71,15,27,0,2,1,0,1,5,2,3.6,1.0
48,14,20,0,2,0,0,2,4,0,2.4285714285714284,1.0
71,15,28,0,2,1,0,1,5,2,3.6,1.0
58,18,30,0,2,0,0,2,4,2,2.111111111111111,1.0
77,17,31,0,2,1,0,1,5,2,3.411764705882353,1.0
69,15,26,0,2,1,0,1,5,2,3.4,1.0
93,19,27,0,2,1,0,2,7,0,3.8947368421052633,1.0
81,18,32,0,2,1,0,1,5,4,3.2777777777777777,1.0
71,15,25,0,2,1,0,1,5,2,3.6,1.0
70,14,24,0,2,1,0,1,5,0,4.0,1.0
96,19,27,0,2,1,0,2,7,0,4.052631578947368,1.0
51,15,23,0,2,0,0,2,4,0,2.4,1.0
51,14,23,0,2,0,0,2,4,0,2.642857142857143,1.0
50,14,21,0,2,0,0,2,4,0,2.5714285714285716,1.0
95,19,28,0,2,1,0,2,7,0,4.0,1.0
71,16,28,0,2,1,0,1,5,2,3.3125,1.0
83,19,34,0,2,1,0,1,5,4,3.210526315789474,1.0
69,13,23,0,2,1,0,1,5,0,4.3076923076923075,1.0
50,14,22,0,2,0,0,2,4,0,2.5714285714285716,1.0
70,15,27,0,2,1,0,1,5,2,3.533333333333333,1.0
96,19,28,0,2,1,2,2,7,0,4.052631578947368,1.0
50,15,21,0,2,0,0,2,4,0,2.3333333333333335,1.0
56,18,27,0,2,0,0,2,4,2,2.0555555555555554,1.0
101,23,34,0,2,1,0,2,7,2,3.347826086956522,1.0
104,23,34,0,2,1,0,2,7,2,3.4782608695652173,1.0
95,20,28,0,2,1,0,2,7,0,3.75,1.0
98,20,28,0,2,1,0,2,7,0,3.9,1.0
71,15,26,0,2,1,0,1,5,2,3.6,1.0
71,14,25,0,2,1,0,1,5,0,4.071428571428571,1.0
72,16,28,0,3,1,0,1,5,2,3.375,1.0
84,19,34,0,2,1,0,1,5,4,3.263157894736842,1.0
75,16,28,0,2,1,0,1,5,2,3.5625,1.0
54,16,26,0,2,0,0,2,4,0,2.375,1.0
54,16,25,0,2,0,0,2,4,0,2.375,1.0
73,15,26,0,2,1,0,1,5,0,3.8666666666666667,1.0
73,15,27,0,2,1,0,1,5,0,3.8666666666666667,1.0
98,22,32,0,2,1,0,2,7,2,3.409090909090909,1.0
70,15,26,0,2,1,2,1,5,2,3.533333333333333,1.0
70,15,27,0,2,1,2,1,5,2,3.533333333333333,1.0
70,16,26,0,2,1,0,1,5,2,3.25,1.0
69,16,26,0,2,1,0,1,5,2,3.1875,1.0
70,16,25,0,2,1,0,1,5,2,3.25,1.0
92,19,26,0,2,1,0,2,7,0,3.8421052631578947,1.0
69,15,25,0,2,1,0,1,5,2,3.466666666666667,1.0
94,19,27,0,2,1,0,2,7,0,3.9473684210526314,1.0
93,19,26,0,2,1,0,2,7,0,3.8947368421052633,1.0
70,15,26,0,2,1,0,1,5,2,3.533333333333333,1.0
69,15,26,0,2,1,0,1,5,2,3.466666666666667,1.0
70,16,27,0,2,1,0,1,5,2,3.25,1.0
70,15,28,0,2,1,0,1,5,2,3.533333333333333,1.0
69,15,27,0,2,1,0,1,5,2,3.466666666666667,1.0
70,16,28,0,2,1,0,1,5,2,3.1875,1.0
97,19,28,0,2,1,0,2,7,0,4.0,1.0
70,16,28,0,2,1,0,1,5,2,3.25,1.0
52,16,24,0,2,0,0,2,4,0,2.25,1.0
71,15,25,0,2,1,0,1,5,0,3.7333333333333334,1.0
52,16,23,0,2,0,0,2,4,0,2.25,1.0
71,15,24,0,2,1,0,1,5,0,3.7333333333333334,1.0
52,15,24,0,2,0,0,2,4,0,2.466666666666667,1.0
50,15,22,0,2,0,0,2,4,0,2.3333333333333335,1.0
84,19,35,0,2,1,0,1,5,4,3.210526315789474,1.0
72,16,29,0,2,1,0,1,5,2,3.375,1.0
72,16,28,0,2,1,0,1,5,2,3.375,1.0
52,15,23,0,2,0,0,2,4,0,2.466666666666667,1.0
69,14,23,0,2,1,0,1,5,0,3.9285714285714284,1.0
97,21,30,0,2,1,2,2,7,0,3.619047619047619,1.0
84,19,35,0,2,1,0,1,5,4,3.263157894736842,1.0
75,16,29,0,2,1,0,1,5,2,3.5625,1.0
82,19,35,3,2,1,2,2,6,2,3.210526315789474,1.0
81,19,35,3,2,1,0,2,6,2,3.1578947368421053,1.0
82,19,36,3,2,1,0,2,6,2,3.210526315789474,1.0
110,25,40,3,2,1,0,3,8,2,3.32,1.0
58,16,28,3,2,0,0,2,5,0,2.625,1.0
74,15,28,3,2,1,0,1,6,0,3.933333333333333,1.0
74,15,29,3,2,1,0,1,6,0,3.933333333333333,1.0
78,17,32,3,2,1,0,2,6,0,3.5294117647058822,1.0
99,20,32,3,2,1,2,2,7,0,3.95,1.0
52,14,24,3,2,0,0,2,4,0,2.5714285714285716,1.0
105,23,35,3,2,1,0,3,8,0,3.5652173913043477,1.0
77,18,31,3,2,1,0,2,6,0,3.2777777777777777,1.0
61,19,29,3,2,0,0,3,5,0,2.210526315789474,1.0
77,18,30,3,2,1,0,2,6,0,3.2777777777777777,1.0
57,16,27,3,2,0,0,2,5,0,2.5625,1.0
73,15,28,3,2,1,0,1,6,0,3.8666666666666667,1.0
57,16,26,3,2,0,0,2,5,0,2.5625,1.0
77,17,31,3,2,1,0,1,6,2,3.411764705882353,1.0
77,17,31,3,2,1,0,2,6,0,3.4705882352941178,1.0
77,17,32,3,2,1,0,1,6,2,3.411764705882353,1.0
86,22,39,3,2,1,0,2,6,4,2.772727272727273,1.0
81,20,34,3,2,1,0,2,6,2,2.95,1.0
82,20,35,3,2,1,0,2,6,2,3.0,1.0
59,19,29,0,2,0,0,2,5,2,2.0526315789473686,1.0
61,20,30,0,2,1,0,3,5,1,2.05,1.0
57,18,27,0,2,0,0,2,5,1,2.1666666666666665,1.0
57,18,26,0,2,0,0,2,5,1,2.1666666666666665,1.0
77,18,31,0,2,1,0,1,6,3,3.111111111111111,1.0
89,21,37,0,2,1,0,1,6,5,3.0476190476190474,1.0
79,18,33,2,2,1,0,1,6,3,3.2222222222222223,1.0
80,18,31,0,2,1,0,1,6,3,3.2777777777777777,1.0
61,19,30,0,2,0,0,3,5,1,2.1578947368421053,1.0
81,20,35,0,2,1,0,2,6,3,2.9,1.0
63,21,32,0,2,0,0,3,5,2,1.9523809523809523,1.0
57,18,27,0,2,1,0,2,5,1,2.1666666666666665,1.0
61,20,30,0,2,0,0,3,5,1,2.05,1.0
59,18,28,0,2,2,0,3,5,0,2.2777777777777777,1.0
55,16,25,0,2,1,0,2,5,0,2.4375,1.0
75,17,29,0,2,2,0,1,6,2,3.2941176470588234,1.0
87,20,35,0,2,2,0,1,6,4,3.2,1.0
77,17,31,2,2,2,0,1,6,2,3.411764705882353,1.0
78,17,29,0,2,2,0,1,6,2,3.4705882352941178,1.0
59,18,27,0,2,1,0,3,5,0,2.2777777777777777,1.0
79,19,33,0,2,2,0,2,6,2,3.0526315789473686,1.0
59,18,28,0,2,0,0,3,5,0,2.2777777777777777,1.0
75,17,29,0,2,1,0,1,6,2,3.2941176470588234,1.0
87,20,35,0,2,1,0,1,6,4,3.2,1.0
77,17,31,2,2,1,0,1,6,2,3.411764705882353,1.0
78,17,29,0,2,1,0,1,6,2,3.4705882352941178,1.0
61,20,29,0,2,0,0,3,5,1,2.05,1.0
55,16,24,0,2,1,0,2,5,0,2.4375,1.0
59,18,27,0,2,0,0,3,5,0,2.2777777777777777,1.0
75,17,28,0,2,1,0,1,6,2,3.2941176470588234,1.0
87,20,34,0,2,1,0,1,6,4,3.2,1.0
77,17,30,2,2,1,0,1,6,2,3.411764705882353,1.0
78,17,28,0,2,1,0,1,6,2,3.4705882352941178,1.0
55,16,23,0,2,0,0,2,5,0,2.4375,1.0
78,17,33,3,2,1,0,1,6,2,3.4705882352941178,1.0
3,1,1,0,0,0,0,0,0,0,3.0,1.0
4,2,3,0,0,0,0,0,0,1,1.0,1.0
2,1,1,0,0,1,0,0,0,0,2.0,1.0
2,1,1,0,0,0,0,0,0,0,2.0,1.0
2,1,0,0,0,0,0,0,0,0,2.0,1.0
3,1,0,0,0,0,0,0,0,0,3.0,1.0
59,18,28,0,2,1,0,3,5,0,2.2777777777777777,1.0
73,15,30,3,2,1,0,1,5,2,3.7333333333333334,1.0
69,13,27,3,2,1,0,1,5,0,4.3076923076923075,1.0
73,15,30,3,2,1,2,1,5,2,3.7333333333333334,1.0
72,16,30,3,2,1,0,1,5,2,3.4375,1.0
73,16,31,3,2,1,0,1,5,2,3.5,1.0
101,22,35,3,2,1,0,2,7,2,3.5454545454545454,1.0
66,13,24,3,2,1,0,1,5,0,4.076923076923077,1.0
67,13,25,3,2,1,0,1,5,0,4.153846153846154,1.0
68,13,26,3,2,1,0,1,5,0,4.230769230769231,1.0
69,13,26,3,2,1,0,1,5,0,4.3076923076923075,1.0
95,19,29,3,2,1,0,2,7,0,4.0,1.0
96,19,29,3,2,1,0,2,7,0,4.052631578947368,1.0
98,19,32,3,2,1,0,2,7,0,4.157894736842105,1.0
68,14,26,3,2,1,0,1,5,0,3.857142857142857,1.0
68,14,25,3,2,1,0,1,5,0,3.857142857142857,1.0
72,15,29,3,2,1,0,1,5,2,3.6666666666666665,1.0
72,15,30,3,2,1,0,1,5,2,3.6666666666666665,1.0
73,16,30,3,2,1,0,1,5,2,3.375,1.0
100,19,31,3,2,1,0,2,7,0,4.157894736842105,1.0
74,16,31,3,2,1,0,1,5,2,3.4375,1.0
59,18,31,3,2,0,0,2,4,2,2.2222222222222223,1.0
76,17,33,3,2,1,0,1,5,2,3.3529411764705883,1.0
77,17,34,3,2,1,0,1,5,2,3.411764705882353,1.0
104,23,37,3,2,1,0,2,7,2,3.4782608695652173,1.0
54,14,26,3,2,0,0,2,4,0,2.857142857142857,1.0
74,15,31,3,2,1,0,1,5,2,3.8,1.0
55,15,27,3,2,0,0,2,4,0,2.6666666666666665,1.0
75,16,31,3,2,1,0,1,5,2,3.5625,1.0
102,21,34,3,2,1,2,2,7,0,3.857142857142857,1.0
98,20,31,3,2,1,0,2,7,0,3.9,1.0
55,16,27,3,2,0,0,2,4,0,2.4375,1.0
72,16,29,3,2,1,0,1,5,0,3.5,1.0
55,16,26,3,2,0,0,2,4,0,2.4375,1.0
55,15,26,3,2,0,0,2,4,0,2.6666666666666665,1.0
57,16,29,3,2,0,0,2,4,0,2.5625,1.0
75,16,32,3,2,1,0,1,5,2,3.5625,1.0
73,15,30,3,2,1,0,1,5,0,3.8666666666666667,1.0
81,20,37,3,2,1,0,1,5,4,2.9,1.0
76,18,32,3,2,1,0,1,5,2,3.111111111111111,1.0
77,18,33,3,2,1,0,1,5,2,3.1666666666666665,1.0
74,17,31,0,2,1,0,1,5,2,3.235294117647059,1.0
74,17,30,0,2,1,0,1,5,2,3.235294117647059,1.0
72,16,29,0,3,1,0,1,5,2,3.375,1.0
84,19,35,0,3,1,0,1,5,4,3.263157894736842,1.0
75,16,29,0,3,1,0,1,5,2,3.5625,1.0
3,1,3,2,1,0,0,0,0,0,3.0,1.0
3,2,3,2,0,0,0,0,0,0,1.0,1.0
3,1,3,2,0,0,0,0,0,0,3.0,1.0
9,3,7,4,1,0,0,0,1,0,2.3333333333333335,1.0
9,4,7,4,0,0,0,0,1,0,1.5,1.0
9,3,7,4,0,0,0,0,1,0,2.3333333333333335,1.0
3,1,3,0,1,0,0,0,0,0,3.0,1.0
3,2,3,0,0,0,0,0,0,0,1.0,1.0
3,1,3,0,0,0,0,0,0,0,3.0,1.0
9,3,7,0,1,0,0,0,1,0,2.3333333333333335,1.0
9,4,7,0,0,0,0,0,1,0,1.5,1.0
9,3,7,0,0,0,0,0,1,0,2.3333333333333335,1.0
9,2,3,0,2,0,0,0,1,0,4.0,1.0
11,3,5,0,2,0,0,0,1,0,3.0,1.0
11,3,5,1,2,0,0,0,1,0,3.0,1.0
14,4,8,0,2,0,0,0,1,1,2.5,1.0
14,4,8,1,2,0,0,0,1,1,2.5,1.0
25,9,21,4,0,0,0,1,1,4,1.4444444444444444,1.0
45,13,41,4,0,0,0,1,1,8,1.3076923076923077,1.0
25,9,21,0,0,0,0,1,1,4,1.4444444444444444,1.0
45,13,41,0,0,0,0,1,1,8,1.3076923076923077,1.0
11,4,7,0,2,0,0,1,1,0,1.75,1.0
9,4,5,0,0,0,0,1,1,0,1.5,1.0
10,4,6,0,0,0,0,1,1,0,1.75,1.0
9,2,4,1,2,0,0,0,0,0,4.0,1.0
8,2,3,1,0,0,0,0,0,0,3.5,1.0
8,1,3,1,0,0,0,0,0,0,8.0,1.0
18,5,9,4,0,0,0,1,1,0,2.8,1.0
21,5,12,5,2,0,0,1,1,0,3.4,1.0
20,5,11,5,0,0,0,1,1,0,3.2,1.0
21,5,12,5,0,0,0,1,1,0,3.4,1.0
24,8,13,4,0,0,0,2,1,0,2.125,1.0
15,5,6,1,0,0,0,1,1,0,2.2,1.0
17,5,8,1,2,0,0,1,1,0,2.6,1.0
16,5,7,1,0,0,0,1,1,0,2.4,1.0
17,5,8,1,0,0,0,1,1,0,2.6,1.0
24,7,15,4,0,0,0,1,1,2,2.2857142857142856,1.0
27,7,18,5,2,0,0,1,1,2,2.7142857142857144,1.0
26,7,17,5,0,0,0,1,1,2,2.5714285714285716,1.0
27,7,18,5,0,0,0,1,1,2,2.7142857142857144,1.0
21,6,12,4,0,0,0,1,1,1,2.5,1.0
24,6,15,5,2,0,0,1,1,1,3.0,1.0
23,6,14,5,0,0,0,1,1,1,2.8333333333333335,1.0
24,6,15,5,0,0,0,1,1,1,3.0,1.0
76,11,16,4,0,1,0,1,0,0,6.0,1.0
9,2,4,0,2,0,0,0,0,0,4.0,1.0
8,2,3,0,0,0,0,0,0,0,3.5,1.0
8,1,3,0,0,0,0,0,0,0,8.0,1.0
18,5,9,0,0,0,0,1,1,0,2.8,1.0
21,5,12,0,2,0,0,1,1,0,3.4,1.0
20,5,11,0,0,0,0,1,1,0,3.2,1.0
21,5,12,0,0,0,0,1,1,0,3.4,1.0
24,8,13,0,0,0,0,2,1,0,2.125,1.0
15,5,6,0,0,0,0,1,1,0,2.2,1.0
17,5,8,0,2,0,0,1,1,0,2.6,1.0
16,5,7,0,0,0,0,1,1,0,2.4,1.0
17,5,8,0,0,0,0,1,1,0,2.6,1.0
24,7,15,0,0,0,0,1,1,2,2.2857142857142856,1.0
27,7,18,0,2,0,0,1,1,2,2.7142857142857144,1.0
26,7,17,0,0,0,0,1,1,2,2.5714285714285716,1.0
27,7,18,0,0,0,0,1,1,2,2.7142857142857144,1.0
21,6,12,0,0,0,0,1,1,1,2.5,1.0
24,6,15,0,2,0,0,1,1,1,3.0,1.0
23,6,14,0,0,0,0,1,1,1,2.8333333333333335,1.0
24,6,15,0,0,0,0,1,1,1,3.0,1.0
76,11,16,0,0,1,0,1,0,0,6.0,1.0
8,1,1,1,0,0,0,0,0,0,8.0,1.0
9,1,2,1,0,0,0,0,0,0,9.0,1.0
8,1,1,0,0,0,0,0,0,0,8.0,1.0
13,3,6,0,0,0,0,0,0,2,3.0,1.0
13,5,8,1,2,0,0,1,1,0,1.8,1.0
16,5,11,0,2,0,0,1,1,0,2.4,1.0
11,4,7,0,0,0,0,1,1,0,1.25,1.0
16,5,11,4,0,0,0,1,1,0,2.0,1.0
27,4,10,3,2,0,0,0,0,0,6.0,1.0
26,4,9,2,2,0,0,0,0,0,5.75,1.0
44,9,17,0,0,0,0,1,1,2,3.5555555555555554,1.0
76,1,0,0,0,0,0,0,0,0,76.0,1.0
15,1,0,0,0,0,0,0,0,0,15.0,1.0
40,9,16,0,0,0,0,1,1,2,3.2222222222222223,1.0
61,5,8,0,0,0,0,0,0,2,11.2,1.0
79,5,8,0,0,0,0,0,0,2,14.8,1.0
78,10,18,0,0,0,0,1,1,2,6.5,1.0
12,4,7,0,0,0,0,0,0,2,2.0,1.0
2,1,1,1,0,0,0,0,0,0,2.0,1.0
10,5,6,1,0,0,0,1,1,0,1.2,1.0
25,6,9,1,2,0,0,0,0,0,3.3333333333333335,1.0
24,6,9,1,2,0,0,0,0,0,3.1666666666666665,1.0
21,5,9,4,0,0,0,1,0,0,3.4,1.0
53,15,26,1,2,0,0,1,0,4,2.466666666666667,1.0
32,6,10,1,2,0,0,0,0,0,4.5,1.0
27,5,8,2,0,0,0,0,0,0,4.6,1.0
11,5,5,0,0,0,0,1,0,0,1.4,1.0
1,1,1,1,0,0,0,0,0,0,1.0,1.0
11,5,9,4,0,0,0,1,1,0,1.4,1.0
9,4,5,0,0,0,0,1,1,0,1.25,1.0
11,5,7,0,2,0,0,1,1,0,1.4,1.0
12,6,8,1,0,0,0,1,1,0,1.1666666666666667,1.0
12,5,8,0,0,0,0,1,1,0,1.4,1.0
10,5,6,0,0,0,0,1,1,0,1.2,1.0
16,5,12,5,2,0,0,1,1,0,2.4,1.0
10,4,7,2,2,0,0,0,1,0,1.75,1.0
20,9,14,4,0,0,0,2,2,0,1.3333333333333333,1.0
18,7,12,0,0,0,0,2,2,0,1.4285714285714286,1.0
15,6,11,0,0,0,0,1,1,2,1.1666666666666667,1.0
15,6,9,1,2,0,0,1,1,0,1.6666666666666667,1.0
15,5,9,4,0,0,0,1,1,0,2.2,1.0
21,7,15,4,0,0,0,1,1,2,1.8571428571428572,1.0
27,7,21,0,0,0,0,1,1,2,2.7142857142857144,1.0
18,5,12,6,0,0,0,1,1,0,2.8,1.0
9,1,1,0,0,0,0,0,0,0,9.0,1.0
10,1,2,0,0,1,0,0,0,0,10.0,1.0
5,1,0,0,0,0,0,0,0,0,5.0,1.0
16,2,3,0,0,0,0,0,0,0,7.5,1.0
6,1,0,0,0,0,0,0,1,0,6.0,1.0
6,1,0,0,0,0,0,0,0,0,6.0,1.0
2,1,0,0,0,0,0,0,1,0,2.0,1.0
9,1,0,0,0,0,0,0,0,0,9.0,1.0
8,2,1,0,0,0,0,0,1,0,3.5,1.0
4,1,0,0,0,0,0,0,0,0,4.0,1.0
8,1,0,0,0,0,0,0,0,0,8.0,1.0
7,1,0,0,0,0,0,0,0,0,7.0,1.0
4,1,0,0,0,0,0,0,1,0,4.0,1.0
21,5,7,2,0,0,0,0,2,0,3.4,1.0
18,5,7,2,0,0,0,0,2,0,2.8,1.0
19,5,7,2,0,0,0,0,2,0,3.0,1.0
16,5,7,2,0,0,0,0,2,0,2.4,1.0
17,5,7,2,0,0,0,0,2,0,2.6,1.0
7,2,1,0,0,0,0,0,0,0,3.0,1.0
27,3,6,1,0,0,0,0,0,0,8.333333333333334,1.0
18,3,4,1,0,0,0,0,0,0,5.333333333333333,1.0
54,4,12,3,2,0,0,0,0,0,12.75,1.0
13,1,2,0,2,0,0,0,0,0,13.0,1.0
16,2,2,0,0,0,0,0,0,0,7.5,1.0
14,3,3,1,0,0,0,0,0,0,4.0,1.0
